States/UTs,AQI Index
Andhra Pradesh,94
Arunachal Pradesh,62
Assam,60
Bihar,144
Chhattisgarh,189
Goa,88
Gujarat,135
Haryana,186
Himachal Pradesh,100
Jammu and Kashmir,48
Jharkhand,100
Karnataka,94
Kerala,89
Madhya Pradesh,133
Maharashtra,117
Manipur,23
Meghalaya,35
Mizoram,19
Nagaland,21
Odisha,106
Punjab,160
Rajasthan,137
Sikkim,31
Tamil Nadu,72
Telangana,98
Tripura,58
Uttarakhand,95
Uttar Pradesh,144
West Bengal,105
Andaman and Nicobar Islands,18
Chandigarh,123
Dadra and Nagar Haveli,134
Daman and Diu,132
Delhi,209
Lakshadweep,17
Puducherry,99
